id,country,year,gdp_per_capita,million_population,cpi,exchange_rate,land_area,tourism_expenditure,exports_percentage,labor_force,national_expenditure,capital_formulation,cfp,adj_national_income,trade_percentage,unemployment,urban_pop_percentage,urban_pop
1,Argentina,1986,3607.821,30.757601,-0.1,0.000094,2736690,9.73835127,8.161977544,1281793,98.16208,5.20E+10,17.46176,9.75E+10,14.48603,3.8,85.445,26272907
1,Argentina,1987,3559.219,31.214665,0.8,0.000214,2736690,11.65167993,7.873205813,13075206,99.70256,5.18E+10,19.55487,9.69E+10,15.44897,4.68,85.843,26797140
1,Argentina,1988,3982.444,31.673154,0.3,0.000875,2736690,13.90500287,9.531612973,13349351,96.68023,6.60E+10,18.64004,1.11E+11,15.74346,7.95,86.233,27327921
1,Argentina,1989,2382.561,32.129676,0.5,0.042334,2736690,16.01123653,13.05840891,13417468,93.52114,8.88E+10,15.5147,6.19E+10,19.6378,4.92,86.613,27859735
1,Argentina,1990,4330.959,32.580854,-0.6,0.487589,2736690,18.32524911,10.35953659,13631248,94.27178,9.01E+10,13.99698,1.20E+11,14.99086,5.23,86.984,28389540
1,Argentina,1991,5730.724,33.028546,-1.2,0.953554,2736690,20.05739832,7.675043348,13851438,98.40296,7.90E+10,14.63698,1.67E+11,13.75305,5.44,87.328,28910601
1,Argentina,1992,6815.618,33.475005,-1.6,0.990642,2736690,18.93469545,6.598187472,14265144,101.5346,7.27E+10,16.70241,2.04E+11,14.73098,6.36,87.542,29386348
1,Argentina,1993,6957.417,33.91744,0.2,0.998946,2736690,15.62782413,6.909351534,14693482,102.4045,7.37E+10,19.68811,2.10E+11,16.22315,10.1,87.752,29859584
1,Argentina,1994,7464.475,34.353066,0.6,0.999008,2736690,11.79245,7.529948726,15067576,103.0744,7.83E+10,19.96562,2.27E+11,18.13435,11.76,87.96,30336257
1,Argentina,1995,7383.705,34.779096,0.8,0.99975,2736690,15.41379668,9.68041026,15197489,100.4107,9.57E+10,18.50041,2.22E+11,19.77142,18.8,88.164,30809888
1,Argentina,1996,7690.157,35.195575,-1.1,0.999663,2736690,14.72583725,10.42859676,15564039,100.6493,9.95E+10,19.62387,2.36E+11,21.50647,17.11,88.366,31272164
1,Argentina,1997,8176.771,35.604362,0.7,0.9995,2736690,13.25723713,10.5608501,16000379,102.2144,1.08E+11,20.82605,2.53E+11,23.33618,14.82,88.564,31720057
1,Argentina,1998,8250.673,36.005387,0.9,0.9995,2736690,13.61427312,10.41558196,16317383,102.5189,1.02E+11,20.97077,2.57E+11,23.35003,12.65,88.759,32160222
1,Argentina,1999,7735.322,36.398577,-1.2,0.9995,2736690,15.88909157,9.827174515,16415837,101.7284,1.02E+11,17.86293,2.39E+11,21.38274,14.05,88.952,32603604
1,Argentina,2000,7666.518,36.783859,-0.9,0.9995,2736690,16.51102966,10.98637523,16591905,100.6497,1.09E+11,17.53349,2.38E+11,22.62244,15,89.142,33045629
1,Argentina,2001,7168.976,37.156654,-1.1,0.9995,2736690,17.71339082,11.57900808,16648514,98.69422,8.88E+10,15.62597,2.24E+11,21.85226,17.32,89.329,33480950
1,Argentina,2002,2579.489,37.537783,25.9,3.063257,2736690,20.57400268,28.382597,16474698,84.98758,9.66E+10,10.85391,7.49E+10,41.75272,19.59,89.51,33910889
1,Argentina,2003,3333.153,37.927463,13.4,2.900629,2736690,16.0057593,25.93094293,16943192,88.78283,1.21E+11,14.14696,1.02E+11,40.64475,15.36,89.686,34330154
1,Argentina,2004,4258.16,38.325927,4.4,2.923301,2736690,11.5297639,23.84761942,17425150,92.99741,1.66E+11,17.55127,1.22E+11,40.69265,13.52,89.86,34747780
1,Argentina,2005,5086.628,38.733406,9.6,2.903658,2736690,10.21352709,23.24587673,17545905,94.05952,1.91E+11,18.88826,1.47E+11,40.55127,11.51,90.031,35175563
2,Australia,1986,11391.43671,16.01835,9.05035,1.495974,7682300,11.57498806,14.97305089,8263838,103.7878,1.94E+10,28.47904,1.45E+11,33.01017,8.081038,85.552,13704019
